Wed Apr 21 23:42:37 2021    log1.txt

         62394416 function calls (59451042 primitive calls) in 245.476 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000  243.367  121.683 interactiveshell.py:3396(run_code)
        2    0.000    0.000  243.367  121.683 {built-in method builtins.exec}
        1    0.000    0.000  243.367  243.367 <ipython-input-116-0da72ea038e6>:2(<module>)
        1    0.000    0.000  243.367  243.367 four_ws_rover_dynamic_simulator_full_par.py:2028(simulate)
        1    0.077    0.077  243.367  243.367 ivp.py:156(solve_ivp)
    13402    0.084    0.000  243.222    0.018 base.py:159(step)
    13402    0.755    0.000  243.138    0.018 rk.py:111(_step_impl)
    19228    1.155    0.000  241.525    0.013 rk.py:14(rk_step)
    57686    0.194    0.000  240.128    0.004 base.py:136(fun)
    57686    0.375    0.000  239.935    0.004 base.py:19(fun_wrapped)
    57686    4.953    0.000  239.429    0.004 four_ws_rover_dynamic_simulator_full_par.py:2063(right_hand_side)
    57686   55.684    0.001  176.561    0.003 four_ws_rover_dynamic_simulator_full_par.py:2209(__checkWheelContact2)
5954167/3299292   13.060    0.000   63.718    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1260135    1.421    0.000   36.070    0.000 <__array_function__ internals>:2(hstack)
    57686   33.289    0.001   33.289    0.001 {wrapper_module_141.autofunc_c}
  1260135    3.237    0.000   31.178    0.000 shape_base.py:286(hstack)
  1260135    1.236    0.000   20.996    0.000 <__array_function__ internals>:2(atleast_1d)
  1260135    4.555    0.000   18.524    0.000 shape_base.py:24(atleast_1d)
  5637431   15.592    0.000   15.592    0.000 {built-in method numpy.array}
   683076    0.785    0.000   14.343    0.000 <__array_function__ internals>:2(mean)
  4130569    1.888    0.000   13.934    0.000 _asarray.py:86(asanyarray)
   230744   12.497    0.000   13.600    0.000 fitpack2.py:860(__call__)
   227812   12.523    0.000   13.106    0.000 functions.py:62(findContinguousContactRegions)
   683076    1.845    0.000   12.789    0.000 fromnumeric.py:3269(mean)
   683076    4.140    0.000   10.944    0.000 _methods.py:143(_mean)
    57686   10.345    0.000   10.345    0.000 {wrapper_module_140.autofunc_c}
    57686    0.112    0.000    8.630    0.000 <__array_function__ internals>:2(inv)
    57686    7.336    0.000    8.401    0.000 linalg.py:477(inv)
   288430    0.716    0.000    7.671    0.000 configparser.py:821(getfloat)
  1317822    1.329    0.000    6.968    0.000 <__array_function__ internals>:2(concatenate)
   288430    0.654    0.000    6.955    0.000 configparser.py:805(_get_conv)
   288430    0.777    0.000    6.301    0.000 configparser.py:802(_get)
  1009963    1.097    0.000    5.656    0.000 <__array_function__ internals>:2(dot)
576862/288431    1.330    0.000    5.524    0.000 configparser.py:765(get)
   913821    4.293    0.000    4.293    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   230745    0.334    0.000    4.071    0.000 <__array_function__ internals>:2(any)
   230745    0.517    0.000    3.391    0.000 fromnumeric.py:2249(any)
   227692    2.937    0.000    3.027    0.000 friction.py:51(computeFrictionCoeffiecient)
   230745    0.969    0.000    2.874    0.000 fromnumeric.py:70(_wrapreduction)
   288431    0.382    0.000    2.841    0.000 configparser.py:393(before_get)
    56923    2.592    0.000    2.592    0.000 {wrapper_module_126.autofunc_c}
    56923    2.554    0.000    2.554    0.000 {wrapper_module_138.autofunc_c}
    56923    2.547    0.000    2.547    0.000 {wrapper_module_130.autofunc_c}
   683076    2.055    0.000    2.538    0.000 _methods.py:59(_count_reduce_items)
    56923    2.486    0.000    2.486    0.000 {wrapper_module_134.autofunc_c}
   288431    0.752    0.000    2.392    0.000 configparser.py:406(_interpolate_some)
  1317822    0.820    0.000    2.239    0.000 shape_base.py:219(_vhstack_dispatcher)
        8    0.000    0.000    2.097    0.262 base_events.py:1784(_run_once)
    56923    1.818    0.000    1.818    0.000 {wrapper_module_125.autofunc_c}
    56923    1.490    0.000    1.490    0.000 {wrapper_module_137.autofunc_c}
    56923    1.487    0.000    1.487    0.000 {wrapper_module_129.autofunc_c}
    56923    1.451    0.000    1.451    0.000 {wrapper_module_133.autofunc_c}
  1317822    0.716    0.000    1.419    0.000 shape_base.py:208(_arrays_for_stack_dispatcher)
   576862    0.930    0.000    1.354    0.000 configparser.py:1139(_unify_values)
  7134505    1.257    0.000    1.257    0.000 {method 'append' of 'list' objects}
    57687    0.074    0.000    1.244    0.000 <__array_function__ internals>:2(vstack)
    54/27    0.000    0.000    1.108    0.041 {method 'run' of 'Context' objects}
       25    0.000    0.000    1.098    0.044 events.py:79(_run)
       16    0.000    0.000    1.097    0.069 ioloop.py:733(_run_callback)
   285378    1.035    0.000    1.035    0.000 {method 'dot' of 'numpy.ndarray' objects}
  2003301    1.021    0.000    1.021    0.000 {built-in method builtins.hasattr}
    57687    0.160    0.000    1.012    0.000 shape_base.py:223(vstack)
        8    0.000    0.000    0.999    0.125 selectors.py:319(select)
        8    0.000    0.000    0.999    0.125 selectors.py:313(_select)
        8    0.999    0.125    0.999    0.125 {built-in method select.select}
    57686    0.989    0.000    0.989    0.000 {wrapper_module_8.autofunc_c}
        2    0.000    0.000    0.976    0.488 kernelbase.py:302(advance_eventloop)
        2    0.000    0.000    0.976    0.488 eventloops.py:127(loop_qt5)
        2    0.000    0.000    0.976    0.488 eventloops.py:110(loop_qt4)
        2    0.000    0.000    0.976    0.488 eventloops.py:98(_loop_qt)
        2    0.974    0.487    0.976    0.488 {built-in method exec_}
    57686    0.896    0.000    0.896    0.000 {wrapper_module_19.autofunc_c}
   576862    0.883    0.000    0.883    0.000 __init__.py:892(__getitem__)
